zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income
95562,37108.0,3475,1368,1487,1.8,5.2,1368,40.45808,-124.1072,4.7,948.0,276700.0,7.46
95563,,589,255,320,2.0,0.0,255,40.84248,-123.51225,4.2,1809.0,525600.0,
95564,41250.0,438,161,173,0.0,5.0,161,40.79023,-124.20312,4.8,1207.0,403600.0,9.78
95565,39115.0,875,303,384,25.6,3.9,303,40.45723,-124.01099,5.1,1175.0,330800.0,8.46
95567,50938.0,1931,805,949,2.5,8.3,805,41.9498,-124.1118,5.7,662.0,292900.0,5.75
95568,45769.0,164,44,84,13.6,37.5,44,41.48454,-123.48543,4.4,,358300.0,7.83
95569,47609.0,211,112,122,0.0,0.0,112,40.36078,-123.85818,3.4,,380000.0,7.98
95570,51406.0,2543,1193,1529,2.2,12.0,1193,41.11375,-124.08037,4.9,1883.0,548500.0,10.67
95571,31458.0,297,106,125,0.0,0.0,106,40.36495,-123.94157,1.4,,,
95573,49306.0,1750,785,999,3.3,4.6,785,40.89567,-123.65873,4.2,1846.0,300900.0,6.1
95585,22222.0,471,231,283,5.2,1.9,231,39.85872,-123.66619,3.1,725.0,394800.0,17.77
95587,,144,88,101,0.0,2.6,88,39.96969,-123.75537,,,,
95589,51250.0,1648,779,1204,4.9,9.8,779,40.07927,-123.98596,5.0,1075.0,411500.0,8.03
95595,47500.0,146,70,163,6.6,0.0,70,40.11074,-123.26642,4.8,,597800.0,12.59
95601,,284,123,152,7.1,15.1,123,38.42713,-120.82997,4.7,1173.0,353300.0,
95602,73485.0,18364,7291,7843,1.5,6.1,7291,38.99039,-121.10991,5.9,1649.0,609700.0,8.3
95603,66272.0,28021,11822,12362,0.8,3.9,11822,38.91167,-121.08559,5.6,1391.0,585300.0,8.83
95604,75729.0,49,7,68,0.0,100.0,7,38.9112,-121.0982,4.8,,,
95605,45456.0,14204,5214,5472,0.6,4.1,5214,38.59289,-121.53929,4.6,1288.0,356300.0,7.84
95606,54152.0,243,85,119,3.4,7.5,85,38.75604,-122.19387,6.5,,,
95607,68990.0,311,166,182,0.0,0.0,166,38.7899,-122.12585,7.0,,457900.0,6.64
95608,61437.0,65367,26295,27383,1.0,3.9,26295,38.62611,-121.32886,5.3,1453.0,516000.0,8.4
95610,58780.0,46592,18109,18842,0.9,4.2,18109,38.69494,-121.27219,5.2,1670.0,439100.0,7.47
95612,79750.0,1317,457,505,2.1,5.9,457,38.38644,-121.58118,5.8,2344.0,834400.0,10.46
95614,97407.0,3891,1610,1697,1.5,7.8,1610,38.88649,-120.98896,6.1,1932.0,470300.0,4.83
95615,58231.0,762,251,298,0.0,6.3,251,38.31113,-121.54595,4.9,976.0,597400.0,10.26
95616,52827.0,51003,18042,19286,0.8,4.3,18042,38.55819,-121.80044,4.7,1819.0,834200.0,15.79
95618,92531.0,27472,10219,10670,0.6,3.3,10219,38.54348,-121.6917,5.4,2170.0,803600.0,8.68
95619,67632.0,4816,1948,2055,1.5,3.8,1948,38.68218,-120.81401,5.2,1866.0,332400.0,4.91
95620,78079.0,21439,7182,7430,0.7,3.2,7182,38.40599,-121.75689,5.5,1683.0,555100.0,7.11
95621,59693.0,42941,17193,17917,1.0,5.3,17193,38.69551,-121.30862,5.5,1628.0,375900.0,6.3
95623,63160.0,4267,1747,1833,1.2,3.7,1747,38.6075,-120.84873,5.5,1738.0,495300.0,7.84
95624,91971.0,66575,20365,20810,0.7,1.9,20365,38.43203,-121.30506,6.6,1853.0,560100.0,6.09
95625,58371.0,175,85,89,0.0,13.8,85,38.35728,-121.90861,,,,
95626,73355.0,5766,2007,2058,0.8,1.9,2007,38.73378,-121.48898,5.7,1444.0,454100.0,6.19
95627,66169.0,3899,1231,1295,0.5,5.3,1231,38.72936,-122.00959,5.2,1232.0,437900.0,6.62
95628,81235.0,42824,17324,17971,1.0,3.6,17324,38.65212,-121.2543,6.1,1793.0,587700.0,7.23
95629,75852.0,1036,479,569,2.8,4.8,479,38.51277,-120.6875,5.9,,485200.0,6.4
95630,109942.0,74787,28308,29532,0.9,6.9,28308,38.66558,-121.141,6.1,2164.0,673000.0,6.12
95631,79000.0,6362,2575,2813,1.3,6.1,2575,39.05453,-120.75365,6.0,,485200.0,6.14
