zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,median_income_rank,homeowner_vacancy_rate_rank,business_rank,personal_rank
95350,49832.0,55344,19998,20812,1.1,3.6,19998,37.67175,-121.00732,5.2,1386.0,367600.0,7.38,315,165,354,74,760,278
95351,40819.0,48668,13238,13715,0.6,3.2,13238,37.6236,-120.99828,5.0,1314.0,284000.0,6.96,347,246,412,274,731,585
95355,65854.0,62337,22313,22959,0.8,3.3,22313,37.6727,-120.94717,5.7,1600.0,414500.0,6.29,387,109,229,182,543,133
95376,76261.0,53781,16638,17075,0.6,2.6,16638,37.73678,-121.43404,5.7,1898.0,560000.0,7.34,323,182,168,274,399,301
95380,45901.0,42912,13930,14594,1.5,3.3,13930,37.47226,-120.86978,5.0,1261.0,366900.0,7.99,279,339,385,33,970,478
95382,69720.0,38702,13015,13507,0.8,5.4,13015,37.52831,-120.85214,5.6,1585.0,443900.0,6.37,380,414,202,182,814,418
95403,73985.0,44705,16334,17458,1.9,5.9,16334,38.50326,-122.75358,4.9,2159.0,631600.0,8.54,248,307,180,17,718,256
95404,77127.0,38034,15296,16438,1.3,4.4,15296,38.46488,-122.65709,5.2,1830.0,830700.0,10.77,136,433,166,43,692,506
95407,59971.0,42504,12665,13138,0.7,2.8,12665,38.39465,-122.74591,4.8,1756.0,585400.0,9.76,182,342,279,228,575,667
95608,61437.0,65367,26295,27383,1.0,3.9,26295,38.62611,-121.32886,5.3,1453.0,516000.0,8.4,253,86,268,106,501,207
95610,58780.0,46592,18109,18842,0.9,4.2,18109,38.69494,-121.27219,5.2,1670.0,439100.0,7.47,309,269,287,143,722,390
95616,52827.0,51003,18042,19286,0.8,4.3,18042,38.55819,-121.80044,4.7,1819.0,834200.0,15.79,31,215,332,182,396,698
95621,59693.0,42941,17193,17917,1.0,5.3,17193,38.69551,-121.30862,5.5,1628.0,375900.0,6.3,385,337,282,106,898,340
95624,91971.0,66575,20365,20810,0.7,1.9,20365,38.43203,-121.30506,6.6,1853.0,560100.0,6.09,398,79,104,228,353,13
95628,81235.0,42824,17324,17971,1.0,3.6,17324,38.65212,-121.2543,6.1,1793.0,587700.0,7.23,330,341,147,106,712,264
95630,109942.0,74787,28308,29532,0.9,6.9,28308,38.66558,-121.141,6.1,2164.0,673000.0,6.12,396,47,48,143,348,-158
95648,81267.0,54483,20630,21298,1.0,2.6,20630,38.92643,-121.31101,6.0,2026.0,603600.0,7.43,312,174,146,106,526,114
95670,64784.0,57988,22125,22790,1.0,3.0,22125,38.60461,-121.27963,5.2,1587.0,432900.0,6.68,362,143,235,106,634,122
95678,70060.0,45136,17452,18016,0.8,2.8,17452,38.76536,-121.28847,5.3,1929.0,486200.0,6.94,350,298,201,182,667,331
95687,81586.0,69837,23315,24043,0.7,4.1,23315,38.3344,-121.91765,5.7,2158.0,540800.0,6.63,367,64,144,228,347,69
95688,88053.0,39571,14161,14706,0.7,4.6,14161,38.41901,-122.02571,6.2,2022.0,638100.0,7.25,328,398,127,228,625,425
95691,73086.0,39849,14388,14831,0.6,3.5,14388,38.62394,-121.58272,5.4,1435.0,485400.0,6.64,365,393,184,274,668,486
95695,62380.0,38956,14328,14817,0.6,2.8,14328,38.68847,-121.85666,5.1,1376.0,475100.0,7.62,297,410,257,274,690,644
95747,103895.0,75019,26622,27698,1.3,5.9,26622,38.77963,-121.36798,6.3,2061.0,625400.0,6.02,406,45,65,43,473,-253
95757,101823.0,55257,15655,16120,1.2,2.4,15655,38.33886,-121.43643,6.6,2395.0,616200.0,6.05,405,169,71,59,586,-106
95758,79885.0,64517,21671,22160,0.5,3.3,21671,38.42932,-121.44603,6.1,2063.0,503100.0,6.3,385,88,154,321,306,178
95762,132470.0,47354,16601,17098,0.8,4.4,16601,38.67694,-121.05755,7.2,2364.0,822200.0,6.21,391,258,17,182,484,66
95765,106554.0,43120,14649,15082,0.9,4.3,14649,38.81982,-121.27772,6.2,2186.0,659900.0,6.19,393,333,55,143,638,138
95821,42290.0,39310,15653,16293,1.3,3.7,15653,38.62541,-121.38479,4.5,1283.0,428700.0,10.14,159,406,401,43,923,691
95822,54552.0,45215,16239,16864,0.8,2.9,16239,38.51273,-121.49556,5.3,1505.0,401100.0,7.35,321,295,317,182,751,473
95823,44981.0,81212,24252,25157,0.9,3.9,24252,38.47473,-121.44266,5.0,1429.0,340600.0,7.57,304,29,389,143,579,257
95826,62527.0,39902,15984,16636,0.6,4.8,15984,38.54554,-121.37885,5.1,1622.0,408100.0,6.53,371,392,255,274,744,550
95828,51229.0,63116,18732,19128,0.8,1.7,18732,38.48943,-121.39598,5.4,1602.0,356200.0,6.95,349,104,343,182,614,280
95831,75632.0,43099,18644,19466,0.8,5.4,18644,38.49599,-121.52948,5.5,1762.0,575200.0,7.61,299,335,171,182,623,389
95833,60455.0,40195,14864,15420,1.2,3.4,14864,38.61529,-121.51558,4.9,1736.0,402100.0,6.65,364,388,273,59,966,356
95835,96743.0,41399,14295,14763,0.9,3.4,14295,38.67088,-121.52464,6.0,2082.0,531900.0,5.5,420,364,88,143,729,175
95838,44849.0,41340,11682,12110,1.6,2.8,11682,38.64708,-121.44312,5.2,1462.0,322500.0,7.19,333,366,390,25,1064,448
95843,78102.0,48234,14793,15045,0.5,2.5,14793,38.71532,-121.36366,5.9,1936.0,432300.0,5.54,419,251,161,321,510,314
95926,45782.0,41259,16706,17759,1.0,4.1,16706,39.74573,-121.84396,4.9,1367.0,433500.0,9.47,199,369,386,106,848,662
95928,47599.0,38378,16121,17392,0.8,6.3,16121,39.68317,-121.83528,5.0,1346.0,451600.0,9.49,196,425,369,182,808,780
95973,64517.0,39609,15865,16478,1.3,2.6,15865,39.88099,-121.8516,5.2,1394.0,464400.0,7.2,331,397,236,43,921,345
95991,47871.0,43345,14668,15380,1.1,3.6,14668,39.02205,-121.61317,5.2,1262.0,350000.0,7.31,326,330,367,74,949,445
95993,67384.0,37783,12232,12605,0.8,2.4,12232,39.08171,-121.68798,6.2,1427.0,408500.0,6.06,402,439,218,182,877,437
96003,51512.0,45185,18661,19960,1.5,5.2,18661,40.66664,-122.31564,5.2,1356.0,343300.0,6.66,363,296,341,33,967,307
