zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,median_income_rank,homeowner_vacancy_rate_rank,business_rank,personal_rank
92345,50836.0,86499,25873,26990,1.1,4.5,25873,34.36415,-117.30984,5.9,1376.0,330400.0,6.5,374,17,347,74,664,64
92346,61823.0,57812,17992,18563,1.0,3.8,17992,34.12629,-117.1792,5.7,1437.0,430400.0,6.96,347,146,262,106,649,167
92374,71297.0,43587,14260,15112,1.2,7.4,14260,34.06738,-117.17482,5.4,1816.0,471700.0,6.62,368,326,192,59,827,209
92376,52618.0,84548,21997,22592,0.5,3.7,21997,34.11053,-117.37997,5.2,1508.0,388100.0,7.38,315,20,335,321,349,361
92392,57885.0,62294,17196,18240,2.5,5.1,17196,34.479,-117.40884,6.2,1707.0,328200.0,5.67,414,111,293,7,811,-3
92394,53636.0,41057,9882,10289,1.8,3.8,9882,34.563,-117.3542,6.3,1441.0,308600.0,5.75,412,372,324,21,1087,305
92395,47921.0,47556,15342,16647,3.3,6.7,15342,34.50032,-117.29479,5.5,1375.0,291200.0,6.08,400,255,366,4,1017,225
92399,63984.0,55794,19868,20605,0.9,4.3,19868,34.04469,-117.004,5.6,1463.0,435400.0,6.8,356,162,242,143,617,191
92404,44474.0,64270,18573,19335,1.1,4.1,18573,34.17862,-117.23891,4.9,1272.0,347300.0,7.81,287,92,391,74,696,270
92407,63171.0,67814,18491,19311,0.8,5.6,18491,34.22394,-117.38839,5.4,1608.0,440600.0,6.97,346,73,250,182,487,159
92410,30072.0,51651,13986,14477,0.7,3.3,13986,34.10655,-117.29574,4.4,1176.0,233700.0,7.77,290,207,438,228,707,583
92503,66579.0,90011,25426,26153,0.9,3.4,25426,33.88308,-117.45222,5.6,1701.0,489200.0,7.35,321,14,221,143,413,57
92504,62699.0,54642,16628,17290,0.7,4.5,16628,33.90607,-117.39854,5.4,1640.0,457800.0,7.3,327,171,253,228,523,325
92505,64505.0,50919,14968,15474,0.7,3.9,14968,33.92663,-117.4928,5.2,1856.0,463500.0,7.19,333,216,237,228,558,348
92506,91216.0,45185,15768,16257,0.8,3.5,15768,33.93478,-117.36689,6.4,1777.0,605800.0,6.64,365,296,106,182,585,219
92507,48872.0,63191,19714,21040,0.8,6.5,19714,33.97464,-117.32234,4.2,1625.0,472300.0,9.66,183,102,362,182,465,463
92509,66232.0,78166,20383,20921,0.6,2.2,20383,34.00293,-117.44547,5.7,1661.0,453500.0,6.85,354,40,224,274,344,184
