zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,homeowner_vacancy_rate_rank,business_rank,median_income_rank
90723,53031.0,53770,14509,14863,0.5,2.4,14509,33.89768,-118.16508,4.3,1699.0,470800.0,8.877826177141673,230,183,321,423,331
90731,51161.0,61270,22927,24189,0.9,4.2,22927,33.7334,-118.27398,4.2,1606.0,751400.0,14.686968589355173,39,117,143,357,344
90744,47776.0,53074,14808,15142,0.3,1.9,14808,33.77821,-118.26087,4.1,1365.0,557600.0,11.67113194909578,102,193,419,244,368
90745,76551.0,59937,16465,16817,0.5,2.4,16465,33.82117,-118.26458,5.2,1756.0,601300.0,7.8548941228723335,284,127,321,257,167
90802,53358.0,41686,21714,24012,1.9,7.7,21714,33.75035,-118.21143,3.2,1755.0,521800.0,9.779227107462798,180,360,17,850,327
90804,49860.0,39370,14895,15690,0.9,3.7,14895,33.78223,-118.14917,3.9,1710.0,630300.0,12.641395908543924,79,404,143,693,353
90805,49370.0,95350,27901,28746,0.5,2.8,27901,33.86494,-118.18051,4.3,1545.0,564900.0,11.442171359124975,112,10,321,160,359
90806,49962.0,41611,12762,13185,0.4,2.4,12762,33.80819,-118.17797,4.2,1489.0,632300.0,12.655618269885112,78,362,381,411,352
90808,109918.0,39747,14389,14750,0.4,2.8,14389,33.82406,-118.11236,6.0,2204.0,854200.0,7.771247657344566,291,395,381,354,49
90810,58095.0,38529,10290,10606,0.9,2.5,10290,33.81912,-118.22096,4.8,1442.0,551700.0,9.496514329976762,195,420,143,763,291
90813,36075.0,54565,17723,18598,1.6,3.7,17723,33.78237,-118.19656,3.6,1464.0,470000.0,13.028413028413029,67,172,25,638,424
90815,88710.0,41837,15116,15712,0.5,5.3,15116,33.79572,-118.11592,5.4,2151.0,840300.0,9.47243828204261,199,357,321,358,123
91016,74076.0,41852,15842,16556,0.5,4.0,15842,34.15246,-118.00065,5.0,1949.0,820600.0,11.0778119768886,126,356,321,340,179
91304,68282.0,52386,17424,17963,0.5,2.9,17424,34.22472,-118.63261,4.9,1847.0,786000.0,11.511086377083272,110,203,321,203,211
91306,67869.0,46669,14274,14620,0.7,2.3,14274,34.20926,-118.5755,5.0,1765.0,652600.0,9.615582961293079,186,268,228,440,214
91311,86156.0,39014,14027,14524,0.9,4.4,14027,34.29011,-118.60776,5.7,2154.0,789500.0,9.1636101954594,212,409,143,610,132
91320,115102.0,44462,15501,15868,0.5,3.8,15501,34.17339,-118.94795,6.4,2651.0,884500.0,7.684488540598773,293,314,321,322,36
91326,112865.0,38041,13217,13557,0.6,3.4,13217,34.28022,-118.5566,6.5,2606.0,942700.0,8.352456474549241,256,432,274,456,42
91331,60360.0,100720,23422,23996,0.4,1.9,23422,34.25602,-118.41939,5.0,1694.0,583300.0,9.663684559310802,184,3,381,81,275
91335,60413.0,76650,24029,24819,0.6,3.2,24029,34.20107,-118.5407,4.6,1763.0,642700.0,10.638438746627381,138,43,274,181,274
91342,70106.0,96429,25917,26540,0.7,1.9,25917,34.31778,-118.39207,5.5,1862.0,605900.0,8.642626879297065,242,8,228,222,200
91343,62791.0,62595,18117,18545,0.2,2.3,18117,34.23837,-118.48076,4.8,1717.0,698400.0,11.122613113344268,124,106,434,48,252
91344,92286.0,52481,16879,17351,0.4,2.9,16879,34.28991,-118.5047,5.7,2101.0,809800.0,8.774895433760268,237,199,381,156,101
91350,112664.0,41514,13474,13701,0.7,2.0,13474,34.43028,-118.50283,6.2,2339.0,684300.0,6.073812397926578,401,363,228,579,43
91352,55177.0,47274,12629,12994,0.5,2.2,12629,34.23183,-118.36596,4.8,1720.0,657700.0,11.919821664824111,96,260,321,350,315
91360,95852.0,43046,15089,15659,0.8,5.0,15089,34.21475,-118.87735,6.1,2315.0,845700.0,8.822977089679924,233,336,182,477,90
91367,87699.0,46498,19785,21106,1.0,7.6,19785,34.17708,-118.61518,4.5,2591.0,912900.0,10.409468751068998,147,272,106,441,128
91387,90433.0,45749,14777,15188,0.7,3.6,14777,34.39708,-118.3707,5.5,2351.0,665800.0,7.362356661838046,319,285,228,486,110
91401,54058.0,39621,14872,15437,0.8,2.9,14872,34.17801,-118.43183,4.1,1731.0,911700.0,16.865218839024752,23,396,182,558,321
91402,42857.0,70140,19344,19799,0.4,1.8,19344,34.22413,-118.4448,4.1,1525.0,563700.0,13.153043843479479,65,60,381,142,398
91405,43548.0,55319,18644,19331,0.6,2.9,18644,34.20153,-118.44863,3.8,1649.0,648600.0,14.893910168090382,37,167,274,326,396
91406,55542.0,53252,18165,18944,0.5,4.2,18165,34.19791,-118.48987,4.1,1764.0,701900.0,12.63728349717331,81,189,321,262,313
91601,52607.0,39429,18280,19476,0.9,5.4,18280,34.16827,-118.37222,3.2,1967.0,876100.0,16.653677267283822,25,403,143,621,336
91605,47000.0,54341,16275,16846,0.9,3.0,16275,34.20699,-118.40067,4.2,1661.0,682200.0,14.514893617021277,40,176,143,446,373
91606,46397.0,43955,15491,16006,0.5,2.4,15491,34.18655,-118.38867,3.8,1673.0,763600.0,16.457960644007155,26,323,321,409,381
91701,94591.0,38778,13250,13510,0.4,3.1,13250,34.13784,-117.60028,6.3,2118.0,664100.0,7.020752502880824,343,413,381,469,94
91702,62514.0,62328,17500,18127,0.5,3.7,17500,34.24129,-117.82614,5.0,1798.0,569000.0,9.101961160700004,217,110,321,262,256
91706,62161.0,73313,18222,18553,0.4,1.5,18222,34.09627,-117.96855,4.9,1755.0,555200.0,8.931645243802384,226,52,381,156,259
91709,104590.0,78530,25294,26104,0.7,4.7,25294,33.95105,-117.72549,6.2,2575.0,775900.0,7.418491251553686,314,38,228,187,63
91710,79592.0,82576,23883,24537,0.6,3.4,23883,34.00507,-117.68249,5.7,1819.0,603800.0,7.586189566790632,302,25,274,209,156
91711,97593.0,38122,12320,13049,1.1,5.2,12320,34.12836,-117.71523,5.9,1983.0,839400.0,8.601026712981463,245,429,74,680,80
91730,69034.0,68883,24723,25678,0.8,4.3,24723,34.10023,-117.5811,4.9,2137.0,558600.0,8.091664976678159,273,68,182,368,209
91732,51899.0,60137,15512,15939,0.8,2.0,15512,34.07239,-118.01455,4.6,1672.0,604300.0,11.64376962947263,104,126,182,388,340
91733,45519.0,41990,10614,10872,0.6,1.6,10614,34.0454,-118.05314,4.4,1600.0,576400.0,12.662844087084514,77,354,274,545,388
91739,105221.0,42411,12093,12481,0.9,4.2,12093,34.1622,-117.51558,6.5,2303.0,798600.0,7.589739690746144,301,346,143,564,60
91744,66278.0,81817,19467,19853,0.5,1.7,19467,34.02914,-117.93735,5.6,1807.0,556300.0,8.393433718579317,254,28,321,184,223
91745,84224.0,54280,16582,17090,0.5,4.2,16582,33.99926,-117.97225,6.0,2084.0,742500.0,8.81577697568389,236,177,321,230,138
91748,71000.0,44737,13710,14247,0.8,4.6,13710,33.9769,-117.89924,5.4,1861.0,730300.0,10.285915492957747,151,306,182,469,194
91752,79181.0,38610,10766,11176,1.4,3.1,10766,33.99575,-117.53399,5.9,1944.0,583400.0,7.367929174928329,318,418,39,855,158
91761,71727.0,60306,17456,17933,0.6,3.4,17456,34.03541,-117.5915,5.5,1820.0,543400.0,7.575947690548887,303,124,274,342,189
91762,56881.0,62524,18529,19096,1.1,2.6,18529,34.02764,-117.64308,5.0,1665.0,512800.0,9.015312670311703,220,108,74,556,302
91763,58094.0,37631,10492,10751,0.6,2.5,10492,34.07208,-117.69828,5.3,1711.0,484900.0,8.346817227252384,257,440,274,715,292
91764,56168.0,55322,16083,16956,0.4,7.2,16083,34.07533,-117.60164,4.7,1979.0,475300.0,8.462113659022931,250,166,381,340,305
91765,97968.0,46449,15404,15971,0.6,4.4,15404,33.98725,-117.81473,6.2,2310.0,839700.0,8.571166095051446,247,273,274,324,78
91766,55785.0,70701,18952,19535,0.6,3.1,18952,34.04192,-117.75698,5.0,1654.0,517500.0,9.276687281527293,206,58,274,300,310
91767,57521.0,51654,15407,15815,0.6,2.7,15407,34.08143,-117.73868,5.0,1651.0,547900.0,9.525216877314373,194,206,274,421,295
91770,53506.0,59360,16901,17412,0.2,2.1,16901,34.06395,-118.08361,4.7,1674.0,673800.0,12.592980226516651,84,131,434,107,326
91776,54131.0,38031,12127,12674,0.9,3.3,12127,34.08987,-118.09519,4.5,1742.0,777500.0,14.363303836988047,44,434,143,655,320
91786,58649.0,55763,19754,20352,0.8,2.8,19754,34.10525,-117.66206,4.7,1798.0,573100.0,9.771692611979743,181,163,182,450,288
91789,99398.0,41235,13047,13515,0.9,3.5,13047,34.01858,-117.85408,6.5,2690.0,910400.0,9.159138010825167,213,370,143,515,75
91790,79926.0,46364,13632,14190,0.5,6.3,13632,34.06722,-117.93788,5.3,2113.0,653400.0,8.175061932287365,270,275,321,377,153
91801,55832.0,53669,20176,21182,1.1,3.3,20176,34.09093,-118.12776,4.2,1810.0,761100.0,13.631967330563118,52,185,74,472,309
91910,61922.0,79613,26646,27755,0.5,4.6,26646,32.63653,-117.06301,4.5,1830.0,621200.0,10.03197571137883,163,33,321,136,261
91911,58598.0,85442,25391,26014,0.5,2.3,25391,32.60686,-117.04984,4.4,1875.0,574200.0,9.798969248097205,179,19,321,166,289
91913,96617.0,55923,16368,16778,0.9,2.8,16368,32.62174,-116.98609,5.7,2786.0,675600.0,6.992558245443348,345,160,143,451,89
91942,61628.0,40813,17250,18021,0.8,4.4,17250,32.77728,-117.02129,4.3,1809.0,645500.0,10.474135133380932,144,380,182,608,266
91950,45712.0,57849,17280,18097,0.5,2.8,17280,32.66952,-117.09313,4.0,1486.0,504300.0,11.032114105705285,128,144,321,338,387
91977,64173.0,60795,18936,19447,0.7,2.8,18936,32.72387,-116.99631,5.3,1813.0,589400.0,9.184548018637122,209,119,228,339,239
92009,126348.0,44816,16684,17376,1.1,4.1,16684,33.09535,-117.24574,6.4,2825.0,1158900.0,9.172286067052902,210,305,74,462,21
92019,82261.0,45108,15549,16028,0.8,3.2,15549,32.77886,-116.87142,5.6,1977.0,675400.0,8.210452097591812,267,299,182,527,143
92020,55666.0,60454,20564,21286,0.8,2.8,20564,32.79557,-116.9697,4.3,1695.0,676200.0,12.147450867675062,92,123,182,345,312
92021,56863.0,70584,23634,24414,1.0,3.3,23634,32.83514,-116.87462,4.8,1721.0,545600.0,9.59499147072789,188,59,106,444,303
92024,114131.0,51190,19915,21523,0.6,5.7,19915,33.05716,-117.25651,5.6,2471.0,1299800.0,11.388667408504263,113,213,274,90,38
92025,60042.0,51586,16096,16776,0.7,4.4,16096,33.08492,-117.02967,4.8,1700.0,705700.0,11.753439259185237,98,209,228,356,277
92026,71597.0,52797,18207,19237,2.3,4.4,18207,33.2111,-117.11157,5.3,1943.0,632600.0,8.835565735994525,231,195,9,607,190
92027,63904.0,56840,17095,17474,0.5,2.7,17095,33.13263,-116.98335,5.2,1844.0,609400.0,9.536179268903355,192,152,321,267,244
92028,69620.0,51614,17519,18426,1.0,4.2,17519,33.38613,-117.22658,5.7,1637.0,710800.0,10.209709853490377,154,208,106,460,204
92037,105904.0,41260,17104,20098,1.5,6.5,17104,32.85257,-117.25104,5.2,2327.0,1839900.0,17.373281462456564,21,368,33,413,57
92040,74918.0,43640,15404,15936,1.0,2.7,15404,32.90665,-116.88875,5.3,1779.0,613500.0,8.188953255559412,269,325,106,663,175
92054,60017.0,38667,15635,18114,1.2,6.7,15635,33.19377,-117.35508,4.3,1784.0,753400.0,12.553109952180215,86,417,59,722,278
92056,77751.0,53750,20074,20810,0.7,4.1,20074,33.20197,-117.28939,5.4,2301.0,646800.0,8.318864066057028,259,184,228,378,163
92057,72633.0,57844,19147,19909,1.1,3.8,19147,33.25326,-117.28704,5.7,2381.0,624600.0,8.599396968320185,246,145,74,503,186
92058,46010.0,45389,13103,14766,1.2,12.2,13103,33.28379,-117.34182,5.4,2471.0,571200.0,12.41469245816127,87,291,59,703,384
92064,105788.0,48884,16412,16903,0.4,3.6,16412,32.98038,-117.01746,6.2,2165.0,911900.0,8.62007032933792,243,242,381,162,58
92069,69625.0,49407,15483,16000,0.5,4.4,15483,33.17536,-117.15761,5.2,1987.0,659900.0,9.477917414721723,197,236,321,315,203
92071,83712.0,60163,21277,21885,0.8,3.7,21277,32.85045,-116.99479,5.5,1982.0,603100.0,7.204462920489297,331,125,182,413,139
92078,79673.0,52347,17975,18845,0.9,4.9,17975,33.11834,-117.18554,5.5,2274.0,787600.0,9.885406599475356,173,204,143,389,155
92083,63262.0,39219,11820,12139,0.7,2.6,11820,33.19808,-117.24844,4.6,1929.0,564500.0,8.923208245076033,228,407,228,655,248
92084,66099.0,49941,15340,15971,1.0,3.7,15340,33.22454,-117.20334,4.9,1845.0,689500.0,10.431322712900347,146,233,106,499,226
92101,66202.0,47505,27414,32513,2.7,10.4,27414,32.7162,-117.18589,2.7,2222.0,751800.0,11.356152382103259,114,257,6,590,225
92102,47467.0,39783,13985,14846,1.5,3.8,13985,32.71595,-117.11749,4.0,1783.0,548700.0,11.559609834200602,107,394,33,840,372
92104,64157.0,44265,21819,23261,1.0,4.2,21819,32.74191,-117.12781,3.8,1805.0,776100.0,12.096887323285067,93,317,106,544,240
92105,40947.0,66579,21223,22080,1.0,3.0,21223,32.73756,-117.09193,4.2,1549.0,560800.0,13.695753046621242,51,78,106,434,411
92109,77774.0,44671,22031,25919,1.3,6.1,22031,32.78699,-117.23273,4.0,2198.0,1082700.0,13.921104739373055,48,309,43,476,162
92111,69442.0,46686,16971,17524,0.5,2.4,16971,32.8065,-117.16897,4.9,1973.0,681200.0,9.809625298810518,178,267,321,329,205
92113,36787.0,50457,13215,13786,0.5,2.8,13215,32.69591,-117.12012,4.2,1532.0,491600.0,13.363416424280317,58,220,321,380,423
92114,64390.0,66248,17953,18347,0.5,2.7,17953,32.70778,-117.05529,5.6,1728.0,564200.0,8.762230159962726,239,83,321,239,238
92115,48442.0,64251,21928,22976,0.4,3.3,21928,32.76154,-117.07187,4.3,1779.0,668000.0,13.78968663556418,50,94,381,128,365
92117,77621.0,51505,20500,21244,0.3,3.6,20500,32.82493,-117.19972,5.0,2026.0,836800.0,10.780587727547957,135,211,419,91,164
92122,80232.0,45646,20430,22330,0.7,8.7,20430,32.85681,-117.21017,3.9,2461.0,894700.0,11.15141090836574,122,287,228,332,151
92126,93994.0,74788,25195,25741,0.4,2.4,25195,32.912,-117.14344,5.0,2460.0,715900.0,7.616443602783156,297,46,381,57,95
92127,134769.0,52274,16830,17353,1.0,3.1,16830,33.01913,-117.12339,6.0,2442.0,1096000.0,8.132434016724915,271,205,106,385,15
92128,97952.0,49083,20220,20982,0.7,4.5,20220,32.99687,-117.07308,5.0,2620.0,788200.0,8.046798431885005,275,240,228,366,79
